id,question,option1,option2,option3,answer
28,「曇花一現」是用來形容事物？,非常美麗,存在時間很短暫,非常珍貴,2
29,下列哪一個字的部首不是「心」部？,想,忘,快,3
30,重組句子：①喜歡 ②小狗 ③最 ④骨頭 ⑤吃,②③①⑤④,②①③④⑤,②①⑤③④,1
31,「媽媽的頭髮□□的，真漂亮。」空格應選哪個字？,烏黑,烏龜,烏鴉,1
32,下列哪一個詞語帶有「批評」的意思？,深思熟慮,自以為是,聰明伶俐,2
33,「舉頭望明月，低頭思故鄉。」這首詩表達了詩人什麼心情？,思念家鄉,欣賞月亮,想要睡覺,1
34,「這個花瓶□□碎了。」空格應填入哪個詞？,竟然,果然,既然,1
35,下列哪一個詞語是形容「讀書很專心」？,東張西望,聚精會神,手舞足蹈,2
36,「老師□□地說：『不可以說謊！』」空格應填入？,興奮,嚴肅,微弱,2
37,「因為...所以...」這組關聯詞表示什麼關係？,轉折關係,因果關係,假設關係,2
38,「只要努力練習，□能得到好成績。」空格應填入？,就,卻,才,1
39,下列哪一個詞語是在形容「很多樣式」？,琳瑯滿目,獨一無二,空空如也,1
40,「清晨的露珠在葉子上滾動。」這句話描寫的時間是？,早上,中午,晚上,1
41,「他這幾天□□不安，好像有什麼心事。」空格應填入？,忑忐,忐忑,上下,2
42,下列哪個成語可以用來形容「好朋友感情很好」？,情同手足,勢不兩立,針鋒相對,1
43,「這本書□□好看，□□我也想買一本。」空格應填入？,因為/所以,雖然/但是,不但/而且,1
44,下列哪一個字是「多音字」（有兩個以上的讀音）？,人,樂,水,2
45,「春眠不覺曉，處處聞啼□。」空格應填入？,鳥,雞,狗,1
46,「他做事總是一絲不苟。」意思是？,他做事很隨便,他做事很認真細心,他做事很慢,2
47,「這件事情發生得太突然，大家都□□□□。」空格應填入？,不知所措,不理不睬,不動聲色,1
48,下列哪一個語詞的組成方式和「開關」一樣（相反詞組成）？,胖瘦,桌椅,花草,1
49,「夕陽無限好，只是近黃昏。」這句話帶有什麼樣的情感？,開心,惋惜、感傷,生氣,2
50,下列哪一句話使用了「誇張法」？,這碗湯好燙啊。,這碗湯燙得我舌頭都快掉了。,這碗湯熱呼呼的。,2
51,「操場上傳來□□的讀書聲。」空格應填入？,琅琅,浪浪,狼狼,1
52,選出錯別字：「他高興地手舞足到。」,興,舞,到,3
53,「這場比賽，我們全班都□□以待。」空格應填入？,拭目,試目,式目,1
54,下列哪一個不是用來形容「聲音」的詞？,震耳欲聾,五光十色,竊竊私語,2
55,「失敗為成功之母」這句話是鼓勵我們？,失敗了就放棄,不要怕失敗，吸取教訓就能成功,成功是不可能的,2
56,「爺爺常常告訴我們做人的□□。」空格應填入？,到理,道理,導理,2
57,「火」字旁的字，意思通常跟什麼有關？,水,熱、燃燒,金屬,2
58,「老師說話很風趣，常常把大家逗得□□大笑。」空格應填入？,哈哈,哇哇,嗚嗚,1
59,「今天好熱啊！」這句話應該用什麼標點符號結尾？,？,！,......,2
60,下列哪一個選項是「完整的句子」？,美麗的花朵。,弟弟在公園裡騎腳踏車。,非常開心的。,2
61,「井底之蛙」這個成語是用來嘲笑人？,膽子很小,見識太少,住在井裡,2
62,「請你不要□□別人的談話。」空格應填入？,打動,打斷,打破,2
63,「下列哪個詞語形容人很多，像水洩不通一樣？」,車水馬龍,水落石出,風平浪靜,1
64,「這家餐廳的菜色真是色香味□□。」空格應填入？,具全,俱全,巨全,2
65,「小華跑步很快。」如果要用「譬喻法」改寫，哪句最好？,小華跑步快極了。,小華跑得像獵豹一樣快。,小華跑步很快樂。,2
66,「亡羊補牢，猶未晚也。」意思是？,羊丟了就不用找了,做錯事及時補救還來得及,要養新的羊,2
67,「這件衣服□□是你弄髒的？」空格應填入？,難道,難到,南道,1
68,「一言九鼎」是形容一個人？,說話很有信用,力氣很大,很有錢,1
69,下列哪一個詞語適合用來祝賀別人開店？,生意興隆,壽比南山,學業進步,1
70,「他只要一開口，就滔滔不絕。」意思是他說話？,很少,很多、連續不斷,很小聲,2
71,「這個問題太難了，我□□□□想不出來。」空格應填入？,左思右想,胡思亂想,不假思索,1
72,選出不同類的詞語（哪個不是季節？）。,春暖花開,烈日炎炎,傾盆大雨,3
73,「他□□地接過獎狀。」空格應填入最適合的詞？,恭敬,恭喜,供養,1
74,「白日依山盡，黃河入海流。」這兩句詩中有哪種對比？,顏色（白/黃）,聲音（大/小）,味道（香/臭）,1
75,「狐假虎威」中的「假」字是什麼意思？,不真實的,借用,放假,2
76,「我們遇到困難時，不能□□放棄。」空格應填入？,輕易,輕快,輕鬆,1
77,「小紅帽」故事中，大野狼是一個怎麼樣的角色？,善良的,狡猾的,誠實的,2
78,下列哪一個詞語結構是「AABB」式？,乾乾淨淨,研究研究,考慮考慮,1
79,「這條路崎嶇不平，真難走。」「崎嶇」的意思是？,很平坦,很寬,高低不平,3
80,「畫蛇添足」是比喻？,做事很完美,做事多此一舉,很會畫畫,2
81,「哥哥□□看電視，□□吃零食。」空格應填入？,一邊/一邊,因為/所以,雖然/但是,1
82,下列哪一個字與「嘴巴」的動作有關？,跑,唱,聽,2
83,「這是一個□□的誤會。」空格應填入？,美麗,嚴重,嚴厲,2
84,「他對於這件事感到很後悔。」「後悔」的意思是？,事後覺得做對了,事後覺得做錯了,完全不在乎,2
85,下列哪一個詞語是用來形容「風景優美」？,山清水秀,面紅耳赤,狼吞虎嚥,1
86,「誰知盤中飧，粒粒皆辛苦。」這句詩教導我們要？,努力讀書,愛惜食物,努力種田,2
87,「他的臉紅得像蘋果。」這句話中「蘋果」是用來比喻？,臉很圓,臉很紅,臉很香,2
88,下列哪一組是同音字？,工/公,大/小,水/火,1
89,「濫竽充數」是比喻？,沒有真才實學卻混在裡面,魚的數量很多,做事很認真,1
90,「這座山高聳入雲。」這句話運用了什麼修辭？,擬人法,誇張法,引用法,2
91,「守株待兔」的人通常有什麼心態？,不想努力，只想靠運氣,非常勤勞,喜歡小動物,1
92,「我們不能以貌取人。」意思是？,不能看外表判斷一個人,要選長得好看的人,外表最重要,1
93,「他□□答應了，□一定要做到。」空格應填入？,既然/就,雖然/就,如果/卻,1
94,「圖書館裡不可以□□喧嘩。」空格應填入？,大聲,大身,大生,1
95,「這條河的水真清澈。」「清澈」的反義詞是？,乾淨,混濁,透明,2
96,「良藥苦口」下一句通常接什麼？,利於病,難下嚥,不好吃,1
97,「他在比賽中脫穎而出。」意思是？,他受傷退出了,他表現特別出色,他跌倒了,2
98,下列哪個詞語形容「變化很大」？,千變萬化,一成不變,原封不動,1
99,「這篇文章的內容真是精彩□□。」空格應填入？,極了,急了,級了,1
100,「助人為快樂之本。」這句話的主旨是？,幫助別人會讓自己快樂,快樂就是要一直玩,幫助別人很麻煩,1
